match_id,season,team1,team2,winner,player_of_match,venue,total_runs,wickets
26,2020,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Andre Russell,Mohali,163,7
27,2019,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Virat Kohli,Ahmedabad,170,3
28,2019,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Virat Kohli,Delhi,131,2
29,2021,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,MS Dhoni,Mumbai,140,9
30,2018,Punjab Kings,Mumbai Indians,Punjab Kings,Shubman Gill,Mohali,177,3
31,2020,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,Rishabh Pant,Mohali,230,7
32,2020,Delhi Capitals,Mumbai Indians,Delhi Capitals,Rishabh Pant,Chennai,176,3
33,2023,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Ravindra Jadeja,Lucknow,191,5
34,2023,Punjab Kings,Delhi Capitals,Delhi Capitals,Rishabh Pant,Kolkata,154,7
35,2018,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Shubman Gill,Ahmedabad,193,8
36,2022,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Hardik Pandya,Bangalore,172,8
37,2023,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,Virat Kohli,Hyderabad,164,2
38,2020,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Jos Buttler,Mumbai,187,9
39,2018,Rajasthan Royals,Punjab Kings,Rajasthan Royals,Rishabh Pant,Bangalore,220,9
40,2019,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Shubman Gill,Delhi,120,10
41,2019,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Jos Buttler,Kolkata,214,4
42,2020,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Shubman Gill,Delhi,163,9
43,2023,Chennai Super Kings,Punjab Kings,Chennai Super Kings,KL Rahul,Mumbai,136,3
44,2020,Delhi Capitals,Mumbai Indians,Delhi Capitals,KL Rahul,Hyderabad,153,9
45,2021,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Rishabh Pant,Delhi,215,3
46,2018,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,MS Dhoni,Lucknow,166,9
47,2022,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Andre Russell,Mumbai,175,2
48,2022,Rajasthan Royals,Punjab Kings,Punjab Kings,Rohit Sharma,Bangalore,145,5
49,2023,Delhi Capitals,Rajasthan Royals,Delhi Capitals,Andre Russell,Kolkata,166,2
50,2021,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,MS Dhoni,Kolkata,126,9
51,2022,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,Jos Buttler,Chennai,237,4
52,2020,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,Rohit Sharma,Jaipur,176,7
53,2020,Delhi Capitals,Chennai Super Kings,Delhi Capitals,Ravindra Jadeja,Ahmedabad,205,7
54,2022,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Andre Russell,Ahmedabad,189,2
55,2020,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,Andre Russell,Bangalore,208,6
56,2018,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,KL Rahul,Chennai,188,2
57,2019,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,Hardik Pandya,Chennai,230,10
58,2019,Punjab Kings,Mumbai Indians,Punjab Kings,KL Rahul,Kolkata,208,9
59,2020,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,MS Dhoni,Mumbai,202,8
60,2022,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,Rishabh Pant,Lucknow,226,4
61,2021,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Shubman Gill,Hyderabad,227,9
62,2021,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Rishabh Pant,Kolkata,188,5
63,2019,Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,Virat Kohli,Hyderabad,151,2
64,2020,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Jos Buttler,Mohali,179,8
65,2020,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,Andre Russell,Mumbai,157,9
66,2023,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,KL Rahul,Mumbai,156,8
67,2021,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,Hardik Pandya,Lucknow,154,5
68,2020,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Jos Buttler,Kolkata,122,10
69,2022,Delhi Capitals,Mumbai Indians,Mumbai Indians,MS Dhoni,Jaipur,138,3
70,2020,Delhi Capitals,Mumbai Indians,Mumbai Indians,Andre Russell,Kolkata,153,3
71,2021,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Shubman Gill,Jaipur,143,3
72,2021,Delhi Capitals,Mumbai Indians,Mumbai Indians,Andre Russell,Delhi,160,4
73,2018,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,Hardik Pandya,Kolkata,181,2
74,2019,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,KL Rahul,Jaipur,145,10
75,2019,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Virat Kohli,Bangalore,187,9
76,2021,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Andre Russell,Jaipur,194,7
77,2020,Chennai Super Kings,Gujarat Titans,Gujarat Titans,Rohit Sharma,Lucknow,121,6
78,2022,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,Andre Russell,Lucknow,238,2
79,2018,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,Rishabh Pant,Mohali,208,10
80,2021,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,MS Dhoni,Hyderabad,185,2
81,2022,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,Rohit Sharma,Bangalore,154,6
82,2019,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Rishabh Pant,Mumbai,137,10
83,2019,Delhi Capitals,Mumbai Indians,Delhi Capitals,KL Rahul,Chennai,155,5
84,2023,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Jos Buttler,Delhi,122,8
85,2021,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,Jos Buttler,Delhi,206,10
86,2018,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,MS Dhoni,Bangalore,233,4
87,2021,Mumbai Indians,Gujarat Titans,Mumbai Indians,MS Dhoni,Mumbai,145,5
88,2020,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Ravindra Jadeja,Ahmedabad,150,5
89,2018,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Andre Russell,Ahmedabad,125,2
90,2022,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Virat Kohli,Hyderabad,162,10
91,2020,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,KL Rahul,Lucknow,225,9
92,2023,Mumbai Indians,Punjab Kings,Mumbai Indians,Shubman Gill,Mohali,154,10
93,2021,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Ravindra Jadeja,Hyderabad,187,6
94,2021,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,Rishabh Pant,Ahmedabad,164,10
95,2019,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,Andre Russell,Kolkata,130,2
96,2022,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Shubman Gill,Jaipur,146,8
97,2021,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,Hardik Pandya,Kolkata,153,2
98,2020,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Hardik Pandya,Mumbai,220,9
99,2019,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Rishabh Pant,Lucknow,154,7
100,2022,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Jos Buttler,Lucknow,218,10
101,2023,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,MS Dhoni,Chennai,153,2
102,2023,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Hardik Pandya,Ahmedabad,219,5
103,2021,Punjab Kings,Gujarat Titans,Gujarat Titans,Rohit Sharma,Bangalore,136,3
104,2021,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,Rohit Sharma,Delhi,209,3
105,2019,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Ravindra Jadeja,Lucknow,134,5
106,2020,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,Ravindra Jadeja,Jaipur,168,6
107,2021,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Andre Russell,Ahmedabad,194,2
108,2018,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rohit Sharma,Chennai,126,7
109,2021,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,MS Dhoni,Delhi,201,2
110,2023,Mumbai Indians,Punjab Kings,Punjab Kings,Jos Buttler,Jaipur,134,10
111,2018,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Jos Buttler,Bangalore,179,2
112,2019,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Rishabh Pant,Ahmedabad,174,9
113,2022,Delhi Capitals,Rajasthan Royals,Delhi Capitals,KL Rahul,Kolkata,189,2
114,2020,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Hardik Pandya,Mumbai,138,3
115,2022,Gujarat Titans,Rajasthan Royals,Gujarat Titans,KL Rahul,Jaipur,173,4
116,2021,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,Andre Russell,Mohali,125,8
117,2021,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,Jos Buttler,Mohali,179,4
118,2019,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Shubman Gill,Mumbai,235,10
119,2022,Punjab Kings,Delhi Capitals,Delhi Capitals,KL Rahul,Lucknow,134,9
120,2022,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Rohit Sharma,Hyderabad,184,6
121,2020,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,Andre Russell,Chennai,211,4
122,2022,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Jos Buttler,Kolkata,206,8
123,2020,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,Hardik Pandya,Hyderabad,164,6
124,2019,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Rishabh Pant,Hyderabad,213,9
125,2018,Gujarat Titans,Punjab Kings,Gujarat Titans,Ravindra Jadeja,Mohali,131,6
126,2022,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Andre Russell,Lucknow,203,9
127,2023,Punjab Kings,Mumbai Indians,Mumbai Indians,KL Rahul,Mohali,194,10
128,2019,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Jos Buttler,Ahmedabad,190,9
129,2019,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Ravindra Jadeja,Chennai,199,8
130,2022,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,MS Dhoni,Delhi,219,10
131,2022,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,KL Rahul,Mohali,215,2
132,2020,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,Virat Kohli,Chennai,206,3
133,2023,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Rohit Sharma,Mohali,188,2
134,2022,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Virat Kohli,Mumbai,137,9
135,2018,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Jos Buttler,Jaipur,147,6
136,2020,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Rishabh Pant,Kolkata,121,4
137,2022,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Shubman Gill,Mohali,183,4
138,2021,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Rishabh Pant,Mohali,236,3
139,2019,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Virat Kohli,Mohali,187,5
140,2021,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Rohit Sharma,Chennai,143,9
141,2022,Mumbai Indians,Punjab Kings,Punjab Kings,Andre Russell,Mumbai,222,7
142,2018,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Andre Russell,Chennai,125,7
143,2019,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Rishabh Pant,Jaipur,141,6
144,2021,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Virat Kohli,Kolkata,226,4
145,2021,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Jos Buttler,Bangalore,231,8
146,2022,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Virat Kohli,Lucknow,143,2
147,2021,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Rohit Sharma,Delhi,193,8
148,2020,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,KL Rahul,Delhi,154,9
149,2022,Punjab Kings,Delhi Capitals,Delhi Capitals,Andre Russell,Delhi,186,2
150,2023,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Hardik Pandya,Jaipur,197,2
151,2023,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Hardik Pandya,Mohali,200,5
152,2020,Delhi Capitals,Chennai Super Kings,Delhi Capitals,Rohit Sharma,Hyderabad,149,5
153,2019,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,Ravindra Jadeja,Chennai,130,4
154,2021,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Virat Kohli,Hyderabad,193,4
155,2021,Rajasthan Royals,Gujarat Titans,Gujarat Titans,Shubman Gill,Hyderabad,200,10
156,2020,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,Rohit Sharma,Lucknow,125,5
157,2023,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Rishabh Pant,Kolkata,132,5
158,2019,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,Rohit Sharma,Jaipur,172,8
159,2018,Mumbai Indians,Gujarat Titans,Mumbai Indians,MS Dhoni,Mumbai,212,5
160,2023,Delhi Capitals,Mumbai Indians,Mumbai Indians,Virat Kohli,Jaipur,187,8
161,2019,Chennai Super Kings,Delhi Capitals,Delhi Capitals,MS Dhoni,Ahmedabad,232,10
162,2019,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Shubman Gill,Chennai,128,9
163,2023,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Hardik Pandya,Kolkata,231,2
164,2022,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,Ravindra Jadeja,Bangalore,138,10
165,2019,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Virat Kohli,Bangalore,227,5
166,2018,Gujarat Titans,Delhi Capitals,Gujarat Titans,Andre Russell,Bangalore,177,7
167,2021,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,Hardik Pandya,Mohali,138,10
168,2019,Mumbai Indians,Gujarat Titans,Gujarat Titans,MS Dhoni,Hyderabad,232,3
169,2021,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Rishabh Pant,Ahmedabad,234,5
170,2022,Chennai Super Kings,Gujarat Titans,Gujarat Titans,Virat Kohli,Ahmedabad,134,8
171,2018,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Jos Buttler,Ahmedabad,231,7
172,2023,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,MS Dhoni,Bangalore,184,6
173,2023,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Ravindra Jadeja,Mumbai,216,6
174,2018,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Rohit Sharma,Lucknow,145,2
175,2018,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Jos Buttler,Delhi,144,9
176,2020,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,KL Rahul,Chennai,214,8
177,2022,Delhi Capitals,Mumbai Indians,Mumbai Indians,KL Rahul,Kolkata,215,7
178,2019,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,Ravindra Jadeja,Delhi,132,8
179,2023,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Shubman Gill,Kolkata,159,8
180,2019,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,Lucknow,124,5
181,2018,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Virat Kohli,Mumbai,181,6
182,2018,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,MS Dhoni,Jaipur,199,10
183,2018,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Shubman Gill,Delhi,198,4
184,2019,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,MS Dhoni,Jaipur,134,10
185,2020,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Shubman Gill,Mumbai,208,4
186,2021,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Shubman Gill,Mohali,178,7
187,2018,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,MS Dhoni,Chennai,149,3
188,2021,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Rishabh Pant,Chennai,143,6
189,2021,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Rishabh Pant,Kolkata,162,8
190,2020,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,Ravindra Jadeja,Delhi,219,4
191,2023,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Hardik Pandya,Lucknow,133,4
192,2022,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Jos Buttler,Lucknow,160,7
193,2020,Punjab Kings,Chennai Super Kings,Chennai Super Kings,KL Rahul,Mumbai,141,6
194,2020,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,MS Dhoni,Mohali,223,8
195,2018,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Shubman Gill,Jaipur,124,8
196,2023,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,MS Dhoni,Hyderabad,222,2
197,2019,Delhi Capitals,Chennai Super Kings,Delhi Capitals,Jos Buttler,Mumbai,230,2
198,2021,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Shubman Gill,Bangalore,166,5
199,2023,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Virat Kohli,Delhi,208,2
200,2018,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,KL Rahul,Kolkata,190,10
201,2020,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Rohit Sharma,Kolkata,181,9
202,2019,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,KL Rahul,Mohali,163,10
203,2021,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Andre Russell,Kolkata,152,4
204,2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rohit Sharma,Chennai,169,3
205,2019,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Rishabh Pant,Ahmedabad,175,6
206,2019,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,Shubman Gill,Mohali,178,6
207,2020,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Shubman Gill,Mohali,145,7
208,2019,Delhi Capitals,Punjab Kings,Punjab Kings,Shubman Gill,Bangalore,185,10
209,2020,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Andre Russell,Bangalore,150,7
210,2021,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,Jos Buttler,Lucknow,230,4
211,2018,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,Jos Buttler,Delhi,147,8
212,2020,Punjab Kings,Mumbai Indians,Mumbai Indians,Shubman Gill,Bangalore,187,10
213,2022,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Hardik Pandya,Mumbai,163,3
214,2021,Mumbai Indians,Delhi Capitals,Mumbai Indians,Andre Russell,Mumbai,233,9
215,2021,Delhi Capitals,Punjab Kings,Punjab Kings,Virat Kohli,Delhi,179,5
216,2021,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,MS Dhoni,Jaipur,202,8
217,2018,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,KL Rahul,Mumbai,193,10
218,2018,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Ravindra Jadeja,Hyderabad,148,2
219,2023,Delhi Capitals,Gujarat Titans,Gujarat Titans,Andre Russell,Mohali,129,10
220,2020,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,MS Dhoni,Hyderabad,205,2
221,2020,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Rohit Sharma,Hyderabad,167,4
222,2022,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,MS Dhoni,Kolkata,152,4
223,2019,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,Hardik Pandya,Jaipur,173,10
224,2021,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Virat Kohli,Ahmedabad,140,6
225,2021,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Shubman Gill,Lucknow,232,10
226,2020,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,Rishabh Pant,Chennai,199,5
227,2023,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,KL Rahul,Kolkata,176,10
228,2021,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,KL Rahul,Mohali,202,9
229,2021,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Shubman Gill,Mohali,129,10
230,2021,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Hardik Pandya,Delhi,129,3
231,2019,Gujarat Titans,Mumbai Indians,Mumbai Indians,Hardik Pandya,Ahmedabad,164,7
232,2018,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Rohit Sharma,Delhi,208,9
233,2023,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Shubman Gill,Chennai,210,9
234,2023,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,KL Rahul,Hyderabad,126,7
235,2021,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Andre Russell,Ahmedabad,163,7
236,2020,Delhi Capitals,Gujarat Titans,Gujarat Titans,Rishabh Pant,Kolkata,199,3
237,2022,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,KL Rahul,Chennai,151,10
238,2021,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,MS Dhoni,Ahmedabad,217,3
239,2023,Punjab Kings,Gujarat Titans,Gujarat Titans,KL Rahul,Mumbai,182,9
240,2023,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Hardik Pandya,Kolkata,234,2
241,2021,Mumbai Indians,Punjab Kings,Mumbai Indians,Rohit Sharma,Lucknow,220,8
242,2023,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,KL Rahul,Lucknow,229,4
243,2023,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,Hardik Pandya,Jaipur,193,6
244,2019,Rajasthan Royals,Mumbai Indians,Mumbai Indians,KL Rahul,Delhi,125,8
245,2021,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Andre Russell,Hyderabad,131,4
246,2022,Gujarat Titans,Mumbai Indians,Gujarat Titans,Shubman Gill,Chennai,125,10
247,2023,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,Rohit Sharma,Delhi,134,2
248,2020,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Virat Kohli,Bangalore,142,2
249,2021,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,KL Rahul,Hyderabad,153,6
250,2019,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,Ravindra Jadeja,Delhi,181,7
251,2018,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,Hardik Pandya,Chennai,156,9
252,2022,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Rishabh Pant,Lucknow,204,9
253,2020,Punjab Kings,Delhi Capitals,Punjab Kings,Jos Buttler,Lucknow,161,9
